"code","address","locality","polling.places","voters","county","district"
"27071 ","Wutuken Elem. School","Wuluken",2,533,"Maryland",3
"27067 ","Tarworken Town Hall","Tarworken",2,530,"Maryland",3
"27042 ","Boys Dormitory","Doloken",1,284,"Maryland",3
"27055 ","Karloken Elem. & Jr High School","Karloken",3,1313,"Maryland",3
"27038 ","Manolu Elem School","Manolu #2",2,511,"Maryland",3
"27039 ","Gbamaken Town Hall","Gbamaken # 1",1,226,"Maryland",3
"27037 ","Boniken High School","Boniken",2,965,"Maryland",3
"27041 ","Soloken Town Hall","Soloken",1,50,"Maryland",3
"27043 ","Gbakliken Town Hall","Gbakliken",1,241,"Maryland",3
"27044 ","Feloken Elem. School","Feloken",1,380,"Maryland",3
"27045 ","Dugboken Elem. School","Dugboken",1,477,"Maryland",3
"27053 ","Suasu Town Hall","Suasu",1,242,"Maryland",3
"27047 ","Gbeaken Elem. School","Gbeaken",1,319,"Maryland",3
"27048 ","Gbiabosuken Town Hall","Gbiabosuken",1,156,"Maryland",3
"27049 ","Gwuteken Town Hall","Gwutuken",2,529,"Maryland",3
"27050 ","Rock Town Public School","Rock Town",1,415,"Maryland",3
"27051 ","Gorturken Town Hall","Gorturken",1,264,"Maryland",3
"27052 ","Warteken Town Hall","Warteken",1,498,"Maryland",3
"27046 ","Chiliken Elem. School","Chiliken",1,61,"Maryland",3
"27040 ","Jargeloken Town Hall","Jargeloken",1,71,"Maryland",3
"27054 ","Dwejah Town Hall","Dwejah",1,207,"Maryland",3
"30329 ","New Land Idp Camp Community Hall","Upper Careysburg",1,447,"Montserrado",1
"30328 ","New Land Idp Camp Community Hall","New Land",1,374,"Montserrado",1
"30270 ","Sasstown Community School","Sasstown",1,444,"Montserrado",1
"30215 ","Zingbor Town Hall","Zingbor",2,777,"Montserrado",1
"30197 ","Manamu Town Palava Hut","Manamu",2,516,"Montserrado",1
"30196 ","Koon Town Public School","Koon",3,1285,"Montserrado",1
"30194 ","Gwee Town Palava Hut","Gwee",2,769,"Montserrado",1
"30330 ","Clean Town Palava Hut","Clean Town/todee",1,500,"Montserrado",1
"30436 ","Pleemu Public School","Pleemu Town",3,1459,"Montserrado",1
"30195 ","Tarquoi Town Palava Hut","Tarquoi",1,423,"Montserrado",1
"30331 ","Zannah Town Public School","Zannah Town/todee",3,1200,"Montserrado",1
"30332 ","Moisee Town Public School","Morcee Town/todee",1,244,"Montserrado",1
"30333 ","Yeakpai Town Public School","Yeakpai Town/todee",3,1110,"Montserrado",1
"30334 ","Yeagbah Town Public School","Yeagbah Town/todee",2,753,"Montserrado",1
"30335 ","Nyehn Town Public School","Nyehn Town/todee",3,1398,"Montserrado",1
"30432 ","C. H. Henry Public School","Central White Plains",1,127,"Montserrado",1
"30433 ","Jesus Christ Children Int'l School","Central White Plains",1,221,"Montserrado",1
"30191 ","Mary Paye Farm Public School","Mary Farm",1,490,"Montserrado",1
"30435 ","Yarkpazuah Palava Hut","Yarkpazuah Town",3,1021,"Montserrado",1
"30170 ","Kartoe Public School","Kartoe Town",2,550,"Montserrado",1
"30434 ","Hart Town Hall","Hart Town",1,221,"Montserrado",1
"30103 ","Blopa Public School","Blopa",2,726,"Montserrado",1
"30003 ","Sackie Town Public School","Sackie",2,621,"Montserrado",1
"30028 ","Careysburg High School","Central Careysburg",2,812,"Montserrado",1
"30029 ","Careysburg Administrative Building","Central Careysburg",3,1014,"Montserrado",1
"30072 ","Crozierville Town Hall","Central Crozierville",3,1069,"Montserrado",1
"30178 ","Kingsville Public School","Central Kingsville",4,1559,"Montserrado",1
"30102 ","Morris Farm School","Morris Farm Community",4,1968,"Montserrado",1
"30190 ","King's Farm Community School","King's Farm",3,1235,"Montserrado",1
"30104 ","Fendall Public School","Central Fendall",2,646,"Montserrado",1
"30105 ","Fendall U.l. Palava Hut","Fendall",4,1891,"Montserrado",1
"30138 ","Children Home School","Children Home",2,894,"Montserrado",1
"30180 ","Kpayaquelleh Palava Hut","Kpayaquelleh",1,377,"Montserrado",1
"30101 ","Euphemial Barclay School","Fahn Gotor, Bentol City",3,1250,"Montserrado",1
"30189 ","Louisiana Waterside Community School","Louisiana Waterside",1,419,"Montserrado",1
"30140 ","Youth Camp Auditorium","Bulu",3,1322,"Montserrado",1
"30179 ","15th Gate Community School","15th Gate Community",2,814,"Montserrado",1
"30002 ","Goba Town Public School","Goba",3,1166,"Montserrado",1
"30177 ","Kingsville Public School","Central Kingsville",4,1506,"Montserrado",1
"30149 ","Raymond Camp School","Raymond Camp",1,347,"Montserrado",1
"30148 ","David A. Day Memorial Lutheran School","Central Harrisburg",1,325,"Montserrado",1
"30147 ","Bernand Curve Palava Hut","Freeman",2,636,"Montserrado",1
"30141 ","Freeman Reserved Public School","Freeman Reserved",2,834,"Montserrado",1
"30230 ","Ma Bendu I. Sheriff School","Zinc Factory",4,1855,"Montserrado",2
"30231 ","Muslim Solidarity Arabic & English School","Zinc Factory",5,2327,"Montserrado",2
"30229 ","Calvary Temple A.g.m. High School","Jacob Town",5,2170,"Montserrado",2
"30228 ","Calvary Temple A.g.m. High School","Jacob Town",5,2155,"Montserrado",2
"30227 ","St. Francis School","Jacob Town",7,3106,"Montserrado",2
"30226 ","Bassa Town Community School","Double Bridge/peace Island",2,607,"Montserrado",2
"30225 ","New Hope Academy","Double Bridge/peace Island",5,2029,"Montserrado",2
"30224 ","Monrovia Vocational Training Center","Double Bridge",4,1754,"Montserrado",2
"30099 ","Hope For Life School","After The Towel On Pipe Line Road, City Vie",4,1539,"Montserrado",2
"30223 ","Monrovia Vocational Training Center","Double Bridge",5,2307,"Montserrado",2
"30091 ","Fairfield Baptist School","Neezoe",4,1870,"Montserrado",2
"30036 ","Johnsonville Public School","Johnsonville",4,1577,"Montserrado",2
"30100 ","Our Lady Of Fatama School","After The Towel On Pipe Line Road, City Vie",6,2699,"Montserrado",2
"30192 ","Light Enterprises Academy & Vocational School System","Lower Johnsonville",4,1832,"Montserrado",2
"30193 ","Ymca - Nekely Town","Lower Johnsonville",5,2074,"Montserrado",2
"30213 ","Nrc School","Mount Barclay",4,1785,"Montserrado",2
"30214 ","Child Friendly Space","Mount Barclay",3,1125,"Montserrado",2
"30232 ","Star Baptist School","Rock Hill",4,1685,"Montserrado",2
"30273 ","Billie Call Christian Institute","Wood Camp A",5,2360,"Montserrado",3
"30274 ","Billie Call Christian Institute","Wood Camp B",5,2293,"Montserrado",3
"30288 ","Paynesville Central Academy","Red Light/ Freeway",8,3600,"Montserrado",3
"30283 ","David G. Barshell Sr. School","Barclay Mission Road/red Light",6,2730,"Montserrado",3
"30280 ","Messiah Mission School","Morris Farm/ Inside",4,1893,"Montserrado",3
"30277 ","Practical Trade Training Center","Coco Cola Factory Community",6,2886,"Montserrado",3
"30276 ","Factory Community Christian Academy","Coco Cola Factory Community/ Morris Fa",5,2486,"Montserrado",3
"30092 ","Aaron G. Burgess Momerial Academy","Neezoe",5,2363,"Montserrado",3
"30272 ","Jawalla Community School","Wood Camp",4,1691,"Montserrado",3
"30271 ","Revival Temple A.g.m School","Wood Camp Road",5,2458,"Montserrado",3
"30097 ","Small Catholic & Idp Camp","Pipe Line B",5,2120,"Montserrado",3
"30096 ","International Christian School Of Prime System","Pipe Line B",5,2102,"Montserrado",3
"30095 ","Salvation Army","Pipe Line A",7,3003,"Montserrado",3
"30094 ","New Jerusalem Baptist Church","Adjacent To The Police Station, Neezoe",6,2619,"Montserrado",3
"30093 ","Christian Methodist School","Neezoe",4,1977,"Montserrado",3
"30275 ","Victorial A. William High School","Morris Farm",3,1455,"Montserrado",3
"30123 ","Dave R. Inman Int'l School","Duport Road North East/mid Duport Road",2,947,"Montserrado",4
"30124 ","Zinah Foundation School","Cow Field/ Sharah Community Duport Ro",2,945,"Montserrado",4
"30125 ","Stronger Hope Central Academy","Zubah Town Road Right",4,1978,"Montserrado",4
"30126 ","Rev. Mother Sarah School System","Duport Road North /zubah Town",6,2875,"Montserrado",4
"30127 ","William Bean Institute/world Wide","Paynesville Central",4,1796,"Montserrado",4
"30128 ","Nathan E. Gibson School","Paynesville Road/water Tower",5,2081,"Montserrado",4
"30129 ","Nathan E. Gibson School","Paynesville Road/water Tower",6,2845,"Montserrado",4
"30279 ","Charles F. Caine School","Bernard Farm/fda Road",5,2049,"Montserrado",4
"30109 ","Omega Community Christian Academy","Omega Tower Red Hill Community",2,800,"Montserrado",4
"30122 ","Rik-c Day Care, Nursery & Pre-school","Duport Road",5,2059,"Montserrado",4
"30278 ","Whein Town Public School","Whein Town Community",5,2081,"Montserrado",4
"30112 ","Soul Clinic Mission/maggie Lampkins Institute","Soul Clinic Community",5,2106,"Montserrado",4
"30108 ","Christian Home Ministries Church Int'l","Omega Tower Community",3,1223,"Montserrado",4
"30111 ","Soul Clinic Mission/maggie Lampkins Institute","Soul Clinic Community",5,2122,"Montserrado",4
"30110 ","Brighter Day Perparatory School","Soul Clinic Road",4,1778,"Montserrado",4
"30120 ","Seymour Grann School","Duport Road",4,1605,"Montserrado",4
"30113 ","Kingdom Foundation Institute","Soul Clinic/moses Blah Community",4,1566,"Montserrado",4
"30114 ","St. Samuel Elem .& Jr. High School","Old Diamond Creek, Kemah Town",3,1449,"Montserrado",4
"30115 ","S. Patrick Jallah School","Old Field, Kemah Town",4,1603,"Montserrado",4
"30116 ","Tomorrow People Foundation","Soul Clinic Road",4,1995,"Montserrado",4
"30117 ","Sammy M. Dukuly School","Soul Clinic Right Side",4,1612,"Montserrado",4
"30119 ","Seymour Grann School","Duport Road",4,1920,"Montserrado",4
"30289 ","Seat Of Wisdom School System","72nd Community",7,3010,"Montserrado",5
"30290 ","Rock International School","Red Light Road",6,2648,"Montserrado",5
"30287 ","Kalita School","Red Light/ Bassa Town",7,3257,"Montserrado",5
"30286 ","Gayee Trade International School","Opp. Victory Cgapel/red Light",7,3488,"Montserrado",5
"30285 ","Victory Chapel School","Red Light",6,2671,"Montserrado",5
"30284 ","St. Mathew  Lutheran School","Red Light",7,3011,"Montserrado",5
"30247 ","Sir Kerry St. Johnston School","Police Academy/inside",3,1266,"Montserrado",5
"30246 ","Bonner Memorial Christian Academy","A.b Tolbert Road",2,917,"Montserrado",5
"30245 ","Christ Miracle Of Faith School System","Police Academy",7,3003,"Montserrado",5
"30244 ","Paynesville Town Hall","Town Hall",6,2717,"Montserrado",5
"30243 ","Dyfater School","12 Houses Road Community",5,2189,"Montserrado",5
"30121 ","Paynesville Community School","Joe Bar",7,3075,"Montserrado",5
"30098 ","Credit Union Building","Pipe Line A",7,3001,"Montserrado",5
"30303 ","James Kin Freeman Memorial School","Swankamore/ S.k.d Boulevard",5,2280,"Montserrado",5
"30248 ","Repentence Baptist School","Pagos Island",5,2210,"Montserrado",5
