,"Total Votes: ",,,223,,"Total Votes: ",,,213,,"Total Votes: ",,,192
"Precinct: 18020 ","Polling Place: ",2,,,"Precinct: 18021 ","Polling Place: ",1,,,"Precinct: 18021 ","Polling Place: ",2,,
"Genoyah Elementary School, Genoyah ",,,,,"Barclayville Central High School, Barclayville City ",,,,,"Barclayville Central High School, Barclayville City",,,,
"Registered Voters: ",463,,,,"Registered Voters: ",525,,,,"Registered Voters: ",533,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,114,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,29,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,31
"WEAH, George Manneh (CDC) ",,,,62,"WEAH, George Manneh (CDC) ",,,,252,"WEAH, George Manneh (CDC) ",,,,229
,"Valid Votes: ",,,176,,"Valid Votes: ",,,281,,"Valid Votes: ",,,260
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,16
,"Total Votes: ",,,180,,"Total Votes: ",,,289,,"Total Votes: ",,,276
"Precinct: 18021 ","Polling Place: ",3,,,"Precinct: 18022 ","Polling Place: ",1,,,"Precinct: 18022 ","Polling Place: ",2,,
"Barclayville Central High School, Barclayville City ",,,,,"Gbeta Jr. High School, Chinakaleh ",,,,,"Gbeta Jr. High School, Chinakaleh",,,,
"Registered Voters: ",496,,,,"Registered Voters: ",399,,,,"Registered Voters: ",434,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,34,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,79,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,105
"WEAH, George Manneh (CDC) ",,,,223,"WEAH, George Manneh (CDC) ",,,,146,"WEAH, George Manneh (CDC) ",,,,154
,"Valid Votes: ",,,257,,"Valid Votes: ",,,225,,"Valid Votes: ",,,259
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,5
,"Total Votes: ",,,267,,"Total Votes: ",,,230,,"Total Votes: ",,,264
"Precinct: 18023 ","Polling Place: ",1,,,"Precinct: 18023 ","Polling Place: ",2,,,"Precinct: 18024 ","Polling Place: ",1,,
"Richard A. Henries Jr. High School, Filoken ",,,,,"Richard A. Henries Jr. High School, Filoken ",,,,,"Advertus A. Hoff Junior High School, Big Suehn",,,,
"Registered Voters: ",364,,,,"Registered Voters: ",331,,,,"Registered Voters: ",506,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,19,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,15,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,52
"WEAH, George Manneh (CDC) ",,,,129,"WEAH, George Manneh (CDC) ",,,,137,"WEAH, George Manneh (CDC) ",,,,251
,"Valid Votes: ",,,148,,"Valid Votes: ",,,152,,"Valid Votes: ",,,303
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,1
,"Total Votes: ",,,151,,"Total Votes: ",,,153,,"Total Votes: ",,,304
"Precinct: 18025 ","Polling Place: ",1,,,"Precinct: 18025 ","Polling Place: ",2,,,"Precinct: 18026 ","Polling Place: ",1,,
"St. Patrick’s School, Grand Cess ",,,,,"St. Patrick’s School, Grand Cess ",,,,,"Juduken Jr. High School, Juduken",,,,
"Registered Voters: ",481,,,,"Registered Voters: ",451,,,,"Registered Voters: ",373,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,64,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,58,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,96
"WEAH, George Manneh (CDC) ",,,,262,"WEAH, George Manneh (CDC) ",,,,247,"WEAH, George Manneh (CDC) ",,,,67
,"Valid Votes: ",,,326,,"Valid Votes: ",,,305,,"Valid Votes: ",,,163
