"Precinct: 33017 ","Polling Place: ",1,,,"Precinct: 33018 ","Polling Place: ",1,,,"Precinct: 33018 ","Polling Place: ",2,,
"Sokopa Palava Hut, Sokopa ",,,,,"Kpein Palava Hut, Kpein ",,,,,"Kpein Palava Hut, Kpein",,,,
"Registered Voters: ",339,,,,"Registered Voters: ",542,,,,"Registered Voters: ",546,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,75,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,137,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,167
"WEAH, George Manneh (CDC) ",,,,92,"WEAH, George Manneh (CDC) ",,,,83,"WEAH, George Manneh (CDC) ",,,,76
,"Valid Votes: ",,,167,,"Valid Votes: ",,,220,,"Valid Votes: ",,,243
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,11
,"Total Votes: ",,,174,,"Total Votes: ",,,233,,"Total Votes: ",,,254
"Precinct: 33018 ","Polling Place: ",3,,,"Precinct: 33019 ","Polling Place: ",1,,,"Precinct: 33019 ","Polling Place: ",2,,
"Kpein Palava Hut, Kpein ",,,,,"Venpa Public School, Venpa ",,,,,"Venpa Public School, Venpa",,,,
"Registered Voters: ",579,,,,"Registered Voters: ",577,,,,"Registered Voters: ",588,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,142,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,131,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,97
"WEAH, George Manneh (CDC) ",,,,83,"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,45
,"Valid Votes: ",,,225,,"Valid Votes: ",,,178,,"Valid Votes: ",,,142
,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,13
,"Total Votes: ",,,237,,"Total Votes: ",,,190,,"Total Votes: ",,,155
"Precinct: 33020 ","Polling Place: ",1,,,"Precinct: 33020 ","Polling Place: ",2,,,"Precinct: 33020 ","Polling Place: ",3,,
"Baipa Public School, Baipa ",,,,,"Baipa Public School, Baipa ",,,,,"Baipa Public School, Baipa",,,,
"Registered Voters: ",465,,,,"Registered Voters: ",487,,,,"Registered Voters: ",478,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,90,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,103
"WEAH, George Manneh (CDC) ",,,,66,"WEAH, George Manneh (CDC) ",,,,62,"WEAH, George Manneh (CDC) ",,,,65
,"Valid Votes: ",,,160,,"Valid Votes: ",,,152,,"Valid Votes: ",,,168
,"Invalid Votes: ",,,16,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,1
,"Total Votes: ",,,176,,"Total Votes: ",,,161,,"Total Votes: ",,,169
"Precinct: 33021 ","Polling Place: ",1,,,"Precinct: 33021 ","Polling Place: ",2,,,"Precinct: 33021 ","Polling Place: ",3,,
"Flumpa Palava Hut, Flumpa ",,,,,"Flumpa Palava Hut, Flumpa ",,,,,"Flumpa Palava Hut, Flumpa",,,,
"Registered Voters: ",599,,,,"Registered Voters: ",612,,,,"Registered Voters: ",600,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,158,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,142,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,142
"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,42,"WEAH, George Manneh (CDC) ",,,,43
,"Valid Votes: ",,,205,,"Valid Votes: ",,,184,,"Valid Votes: ",,,185
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,5
,"Total Votes: ",,,208,,"Total Votes: ",,,189,,"Total Votes: ",,,190
"Precinct: 33021 ","Polling Place: ",4,,,"Precinct: 33022 ","Polling Place: ",1,,,"Precinct: 33022 ","Polling Place: ",2,,
"Flumpa Palava Hut, Flumpa ",,,,,"Kpoapa Public School, Kpoapa ",,,,,"Kpoapa Public School, Kpoapa",,,,
"Registered Voters: ",561,,,,"Registered Voters: ",504,,,,"Registered Voters: ",473,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,123,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,136,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,153
"WEAH, George Manneh (CDC) ",,,,39,"WEAH, George Manneh (CDC) ",,,,96,"WEAH, George Manneh (CDC) ",,,,90
,"Valid Votes: ",,,162,,"Valid Votes: ",,,232,,"Valid Votes: ",,,243
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4
,"Total Votes: ",,,171,,"Total Votes: ",,,236,,"Total Votes: ",,,247
"Precinct: 33023 ","Polling Place: ",1,,,"Precinct: 33023 ","Polling Place: ",2,,,"Precinct: 33024 ","Polling Place: ",1,,
"Gepoe Public School, Gepoe ",,,,,"Gepoe Public School, Gepoe ",,,,,"Cocopa Camp 4 School Compound, Cocopa 1",,,,
"Registered Voters: ",545,,,,"Registered Voters: ",556,,,,"Registered Voters: ",563,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,183,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,246,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,258
"WEAH, George Manneh (CDC) ",,,,69,"WEAH, George Manneh (CDC) ",,,,66,"WEAH, George Manneh (CDC) ",,,,39
,"Valid Votes: ",,,252,,"Valid Votes: ",,,312,,"Valid Votes: ",,,297
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,4
,"Total Votes: ",,,257,,"Total Votes: ",,,323,,"Total Votes: ",,,301
"Precinct: 33024 ","Polling Place: ",2,,,"Precinct: 33025 ","Polling Place: ",1,,,"Precinct: 33025 ","Polling Place: ",2,,
"Cocopa Camp 4 School Compound, Cocopa 1 ",,,,,"Cocopa Camp 1 School Compound, Camp 6,7&8 ",,,,,"Cocopa Camp 1 School Compound, Camp 6,7&8",,,,
"Registered Voters: ",596,,,,"Registered Voters: ",431,,,,"Registered Voters: ",452,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,389,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,117,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,133
"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,44
,"Valid Votes: ",,,437,,"Valid Votes: ",,,165,,"Valid Votes: ",,,177
,"Invalid Votes: ",,,26,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,9
,"Total Votes: ",,,463,,"Total Votes: ",,,168,,"Total Votes: ",,,186
