"CONNEH, Sekou Damate (PRODEM) ","","","",1 ,"DOKIE, Josephus Saye (LP) ","",8 ,"MANEH, David Saye (UP) ","","","","","",12
"DIVINE, SR., Samuel Raymond (Ind) ","","","",1 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",164 ,"MARTOR, J. Lynon (LP) ","","","","","",28
"FARHAT, David M. (FDP) ","","","",3 ,"JOHNSON, Prince Yormie (Ind) ","",141 ,"QUEEGLAY, David Wonle (NPP) ","","","","","",87
"JALLAH, Armah Zolu (NPL) ","","","",1 ,"KOAH, Evans Vaye (Ind) ","",275 ,"TUAZAMA, SR., Paul Duo (COTOL) ","","","","","",50
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",20 ,"KROMAH, Ansumana Fassu (UDA) ","",5 ,"VAH, Johnny Saye (NDPL) ","","","","","",15
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KRUAH, SR., Cooper W. (APD) ","",37 ,"VOKER, Yohn Z. (NATVIPOL) ","","","","","",28
"KIEH, JR., George Klay (NDM) ","","","",11 ,"LUO, Harrison Dologbean (NPP) ","",17 ,"",Valid Votes: ,"","","","",360
"KORTO, Joseph D. Z. (LERP) ","","","",13 ,"MANTEIN, Nyah  (UP) ","",9 ,"",Invalid Votes: ,"","","","",17
"KPOTO, Robert Momo (ULD) ","","","",7 ,"MYERS, Prince B. (NPP) ","",7 ,"",Total Votes: ,"","","","",377
"KROMAH, Alhaji G. V. (ALCOP) ","","","",3 ,"NOAH, Mac Sonkarley (LP) ","",8,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",20 ,"SENNEH, Peter S. T. (NDPL) ","",2,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",3 ,"WUOR, Emma Kou (COTOL) ","",7,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",1 ,"YUAN, SR., Harry Targehn (UP) ","",3,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",53 ,"",Valid Votes: ,685,"","","","","","",""
