"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",44 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",21
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",247 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",58
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",1 ,"KROMAH, Ansumana Fassu (UDA) ","",4 ,"",Valid Votes: ,"","","","",403
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KRUAH, SR., Cooper W. (APD) ","",39 ,"",Invalid Votes: ,"","","","",3
"KIEH, JR., George Klay (NDM) ","","","",0 ,"LUO, Harrison Dologbean (NPP) ","",179 ,"",Total Votes: ,"","","","",406
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"MANTEIN, Nyah  (UP) ","",22,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",1 ,"MYERS, Prince B. (NPP) ","",6,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"NOAH, Mac Sonkarley (LP) ","",3,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",4 ,"SENNEH, Peter S. T. (NDPL) ","",3,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WUOR, Emma Kou (COTOL) ","",2,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",2 ,"YUAN, SR., Harry Targehn (UP) ","",0,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",25 ,"",Valid Votes: ,756,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",320 ,"",Invalid Ballots: ,13,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0 ,"",Valid Votes + Invalid Ballots: ,769,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",4,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",19,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",398,"","","","","","","","","",""
"",Invalid Votes: ,"","",10,"","","","","","","","","",""
"",Total Votes: ,"","",408,"","","","","","","","","",""
Precinct: 33002 ,Polling Place: ,1 ,"","","","","",Total: 433 ,Age 18-27: 31.9% ,Age 48-57: ,"","",11.8%,""
"Garw anpa Palava Hut, Garw anpa, Nimba ","","","","","","","",Males: 50.8% Females: 49.2% ,Age 28-37: 21.9% Age 38-47: 18.0% ,Age 58-67: Age 68+: ,"","",5.1%11.3%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 5","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
