"WEAH, George Manneh (CDC) ",,,29,,"Valid Votes + Invalid Ballots: ",185,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,100,,,,,,,,,,,
,"Invalid Votes: ",,0,,,,,,,,,,,
,"Total Votes: ",,100,,,,,,,,,,,
"Precinct: 30004 ","Polling Place: ",1,,,,,,"Total: 479 ","Age 18-27: 34.0% ","Age 48-57: ",,"10.2%",,
"Gbondoi Public School, Virginia, Montserrado ",,,,,,,,"Males: 49.3% Females: 50.7% ","Age 28-37: 21.3% Age 38-47: 19.0% ","Age 58-67: Age 68+: ",,"5.8%9.6%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,2,"BILITY, Losene F. (Ind) ",,68,"BAI, Etmonia Musu (LP) ",,,,,,5
"BRUMSKINE, Charles Walker (LP) ",,,,7,"BRENT, Hannah G. (CDC) ",,37,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,4
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"CAESAR, Ruth Gibson (Ind) ",,58,"CASSELL, SR., Shadrick B. (UP) ",,,,,,15
"DIVINE, SR., Samuel Raymond (Ind) ",,,,4,"FRANCIS, Josephine M. George (Ind) ",,71,"COOPER, I, Stephen Faithful (Ind) ",,,,,,8
"FARHAT, David M. (FDP) ",,,,0,"FREEMAN, Joyce Musu (CDC) ",,65,"DOLEA, John G. (NDPL) ",,,,,,3
"JALLAH, Armah Zolu (NPL) ",,,,2,"JACKITAY, Chemon Feson (ALCOP) ",,54,"LAMIN, Edward Musa (COTOL) ",,,,,,192
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,100,"JALLAH, Ola Walker (LP) ",,17,"LYNCH, Victoria  (CDC) ",,,,,,21
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KAMARA, Kadie Sannor (LP) ",,39,"NYEI, Sekou I. (ALCOP) ",,,,,,57
"KIEH, JR., George Klay (NDM) ",,,,0,"KROMAH, Amara M. (PRODEM) ",,17,"PARKER, SR., Julius Sylvester (NPP) ",,,,,,30
"KORTO, Joseph D. Z. (LERP) ",,,,2,"KUMEH, Charles Max (NDPL) ",,6,"PUNNI, Lucinda A. Eastman (Ind) ",,,,,,3
"KPOTO, Robert Momo (ULD) ",,,,1,"PAYNE, SR., Jessie S. (NPP) ",,26,"TAH, Christopher Moham (APD) ",,,,,,51
"KROMAH, Alhaji G. V. (ALCOP) ",,,,53,"RICHARDSON, Nathaniel Reginald (COTOL) ",,123,"WADE, Wilfred Alvin (FAPL) ",,,,,,0
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,12,"SEAKOR, Daniel Success (FAPL) ",,4,,"Valid Votes: ",,,,,389
"MORLU, John Sembe (UDA) ",,,,1,"TARPEH, Wilson Kargeor (APD) ",,28,,"Invalid Votes: ",,,,,22
"REEVES, Alfred Garpee (NRP) ",,,,1,"TAYLOR, Bob D. (NPP) ",,22,,"Total Votes: ",,,,,411
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,45,"TRAVERS, Rudolph  (COTOL) ",,56,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,"UREY, Clemenceau Blayon (UP) ",,30,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,4,"WOHEEL, SR., Roland Kollie (UP) ",,10,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,2,,"Valid Votes: ",731,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,21,,"Invalid Ballots: ",14,,,,,,,
"WEAH, George Manneh (CDC) ",,,,140,,"Valid Votes + Invalid Ballots: ",745,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,399,,,,,,,,,,
,"Invalid Votes: ",,,17,,,,,,,,,,
,"Total Votes: ",,,416,,,,,,,,,,
"Precinct: 30005 ","Polling Place: ",1,,,,,,"Total: 212 ","Age 18-27: 35.4% ","Age 48-57: ",,"9.4%",,
"Memeh Tow n Palava Hut, Virginia, Montserrado ",,,,,,,,"Males: 47.2% Females: 52.8% ","Age 28-37: 23.6% Age 38-47: 15.1% ","Age 58-67: Age 68+: ",,"4.7%11.8%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,2,"BILITY, Losene F. (Ind) ",,51,"BAI, Etmonia Musu (LP) ",,,,,,3
"BRUMSKINE, Charles Walker (LP) ",,,,0,"BRENT, Hannah G. (CDC) ",,28,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,3
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"CAESAR, Ruth Gibson (Ind) ",,14,"CASSELL, SR., Shadrick B. (UP) ",,,,,,14
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"FRANCIS, Josephine M. George (Ind) ",,25,"COOPER, I, Stephen Faithful (Ind) ",,,,,,11
"FARHAT, David M. (FDP) ",,,,0,"FREEMAN, Joyce Musu (CDC) ",,31,"DOLEA, John G. (NDPL) ",,,,,,4
"JALLAH, Armah Zolu (NPL) ",,,,1,"JACKITAY, Chemon Feson (ALCOP) ",,15,"LAMIN, Edward Musa (COTOL) ",,,,,,66
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,72,"JALLAH, Ola Walker (LP) ",,5,"LYNCH, Victoria  (CDC) ",,,,,,25
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KAMARA, Kadie Sannor (LP) ",,12,"NYEI, Sekou I. (ALCOP) ",,,,,,10
"KIEH, JR., George Klay (NDM) ",,,,2,"KROMAH, Amara M. (PRODEM) ",,7,"PARKER, SR., Julius Sylvester (NPP) ",,,,,,3
"KORTO, Joseph D. Z. (LERP) ",,,,0,"KUMEH, Charles Max (NDPL) ",,3,"PUNNI, Lucinda A. Eastman (Ind) ",,,,,,5
"KPOTO, Robert Momo (ULD) ",,,,0,"PAYNE, SR., Jessie S. (NPP) ",,7,"TAH, Christopher Moham (APD) ",,,,,,28
"KROMAH, Alhaji G. V. (ALCOP) ",,,,10,"RICHARDSON, Nathaniel Reginald (COTOL) ",,17,"WADE, Wilfred Alvin (FAPL) ",,,,,,0
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,1,"SEAKOR, Daniel Success (FAPL) ",,4,,"Valid Votes: ",,,,,172
"MORLU, John Sembe (UDA) ",,,,0,"TARPEH, Wilson Kargeor (APD) ",,8,,"Invalid Votes: ",,,,,9
"REEVES, Alfred Garpee (NRP) ",,,,0,"TAYLOR, Bob D. (NPP) ",,4,,"Total Votes: ",,,,,181
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,8,"TRAVERS, Rudolph  (COTOL) ",,12,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,4,"UREY, Clemenceau Blayon (UP) ",,24,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,"WOHEEL, SR., Roland Kollie (UP) ",,15,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,1,,"Valid Votes: ",282,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,7,,"Invalid Ballots: ",14,,,,,,,
"WEAH, George Manneh (CDC) ",,,,59,,"Valid Votes + Invalid Ballots: ",296,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,168,,,,,,,,,,
,"Invalid Votes: ",,,13,,,,,,,,,,
,"Total Votes: ",,,181,,,,,,,,,,
"Precinct: 30006 ","Polling Place: ",1,,,,,,"Total: 357 ","Age 18-27: 49.0% ","Age 48-57: ",,"8.1%",,
