"CONNEH, Sekou Damate (PRODEM) ",,,,2,"INNIS, SR., Nathaniel K. (LP) ",,50,"HILL, Trokon  (Ind) ",,,,,,127
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"JOHNSON, Charles Jefferson (Ind) ",,35,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,44
"FARHAT, David M. (FDP) ",,,,1,"LATHROBE, Joseph O. (NDPL) ",,13,"PASSAWE, Agathon Buelue (UP) ",,,,,,5
"JALLAH, Armah Zolu (NPL) ",,,,0,"MARSHALL, Julia Saturday (CDC) ",,19,"SMITH, Jackie Clipton (PRODEM) ",,,,,,6
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,17,"NATT, Ellen Janjay (NPP) ",,6,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,11
"KIADII, George Momodu (NATVIPOL) ",,,,1,"ONUMAH, Nathan Alphonsus (FAPL) ",,8,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,1
"KIEH, JR., George Klay (NDM) ",,,,0,"REEVES, Hilary Yhrakehmenn (LP) ",,25,,"Valid Votes: ",,,,,222
"KORTO, Joseph D. Z. (LERP) ",,,,1,"REEVES, Lee Pennalton (CDC) ",,7,,"Invalid Votes: ",,,,,22
"KPOTO, Robert Momo (ULD) ",,,,0,"ROBINSON, SR., Wesley Bonne (COTOL) ",,10,,"Total Votes: ",,,,,244
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"VAH, Andrew Dehkpo (COTOL) ",,15,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,3,"WHITFIELD, JR., John F. (Ind) ",,40,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"WOLO, Matthew Alan (FAPL) ",,3,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",342,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,1,,"Invalid Ballots: ",44,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes + Invalid Ballots: ",386,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,0,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,2,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,3,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,28,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,1,,,,,,,,,,
,"Valid Votes: ",,,235,,,,,,,,,,
,"Invalid Votes: ",,,12,,,,,,,,,,
,"Total Votes: ",,,247,,,,,,,,,,
