"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"SEESEE, Lasana Abraham (Ind) ",,4,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,3,"SIAKOR, Franklin Obed (Ind) ",,336,,,,,,,
"MORLU, John Sembe (UDA) ",,,,1,"SIRLEAF, Lassana M. (PRODEM) ",,2,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,"TOKPAH, Molley O. K. (CDC) ",,3,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,5,"WOKPEH, Lysander B. (FAPL) ",,2,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",753,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,,"Invalid Ballots: ",7,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,1,,"Valid Votes + Invalid Ballots: ",760,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,354,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,7,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,1,,,,,,,,,,
,"Valid Votes: ",,,383,,,,,,,,,,
,"Invalid Votes: ",,,12,,,,,,,,,,
,"Total Votes: ",,,395,,,,,,,,,,
"Precinct: 06004 ","Polling Place: ",1,,,,,"Total: 489 ","Age 18-27: 36.8% ","Age 48-57: ",,,"10.2%",,
"Garuw oquelleh Palava Hut, Garuw oquelleh, Bong ",,,,,,,"Males: 44.2% Females: 55.8% ","Age 28-37: 24.3% Age 38-47: 14.7% ","Age 58-67: Age 68+: ",,,"6.7%7.2%",,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Bong ",,,"Bong, Electoral District 3",,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,1,"CORNORMIA, SR., Joseph N. (COTOL) ",,7,"BONDO, G. Samuel K.S. (LP) ",,,,,,90,
"BRUMSKINE, Charles Walker (LP) ",,,1,"DAVIES, Olive Quita (CDC) ",,9,"CLINTON, Joseph Orendor (UP) ",,,,,,57,
