"JOHNSON-SIRLEAF, Ellen  (UP) ",,,"27 KAMARA, Jenneh M. (CDC) ","KAMARA, Jenneh M. (CDC) ",,6,"SONII, Mambu Mahamudu (Ind) ",,,,,,190,
"KIADII, George Momodu (NATVIPOL) ",,,"7 MASSALAY, Abel Momolu (NPP) ","MASSALAY, Abel Momolu (NPP) ",,243,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,61,
"KIEH, JR., George Klay (NDM) ",,,"0 MOMO, James Kormah (NPP) ","MOMO, James Kormah (NPP) ",,37,"ZOLUDUA, SR., Edwin Boakai (ULD) ",,,,,,22,
"KORTO, Joseph D. Z. (LERP) ",,,"1 PAASEWE, Varney  (COTOL) ","PAASEWE, Varney  (COTOL) ",,76,"Valid Votes: ",,,,,,325,
"KPOTO, Robert Momo (ULD) ",,,"0 SHERMAN, Rudolph Emmett (COTOL) ","SHERMAN, Rudolph Emmett (COTOL) ",,66,"Invalid Votes: ",,,,,,24,
"KROMAH, Alhaji G. V. (ALCOP) ",,,2,"Valid Votes: ",,504,"Total Votes: ",,,,,,349,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,12,"Invalid Ballots: ",,9,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,"Valid Votes + Invalid Ballots: ",,513,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,2,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,229,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,0,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,1,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,16,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,1,,,,,,,,,,,
,"Valid Votes: ",,327,,,,,,,,,,,
,"Invalid Votes: ",,23,,,,,,,,,,,
,"Total Votes: ",,350,,,,,,,,,,,
"Precinct: 12001 ","Polling Place: ",4,,,,,"Total: 498 Age 18-27: 38.2% ","Age 48-57: ",,,"7.4%",,,
