"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,0,"BALLOUT, JR., John Akel (UP) ",,0,"DENNIS, Sophia Diode (LP) ",,,,,,1
"BRUMSKINE, Charles Walker (LP) ",,,,13,"BEDELL, Anthony S. Wloflo (NDPL) ",,0,"SAYDEE, David Gwiah (APD) ",,,,,,181
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"BREWER, JR., Robert Alexandeer (NDPL) ",,0,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,0
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"CLARK, Wilfred Ernest (COTOL) ",,0,"WAH, G. Glomah (UP) ",,,,,,1
"FARHAT, David M. (FDP) ",,,,0,"CLARK-WAH, Theodosia Minikon (APD) ",,0,"WALLACE, Adolphus G. (CDC) ",,,,,,0
"JALLAH, Armah Zolu (NPL) ",,,,0,"COX, SR., James Lamark (LP) ",,0,"WILSON, Ben J. (COTOL) ",,,,,,0
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,46,"FOLEE, Eric Deiojue Kitue (CDC) ",,37,,"Valid Votes: ",,,,,183
"KIADII, George Momodu (NATVIPOL) ",,,,0,"GOE, Mason Chumue (APD) ",,29,,"Invalid Votes: ",,,,,0
"KIEH, JR., George Klay (NDM) ",,,,0,"HUTCHINS, Alexander Mcknight (RULP) ",,0,,"Total Votes: ",,,,,183
"KORTO, Joseph D. Z. (LERP) ",,,,0,"JEFFY, Paul R. (LP) ",,181,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"MUSU-SCOTT, Gloria Maya (UP) ",,0,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"NEUFVILLE, E. Danny (CDC) ",,0,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,0,"RAGLAND, Willie Dalleh (COTOL) ",,0,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"TOOMEY, J. Kla (NPP) ",,0,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",247,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,10,,"Invalid Ballots: ",0,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,5,,"Valid Votes + Invalid Ballots: ",247,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,0,,,,,,,,,,
