"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",4 ,"",Invalid Ballots: ,3,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"",Valid Votes + Invalid Ballots: ,622,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",2,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",26,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",0,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",7,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",34,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",39,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",5,"","","","","","","","","",""
"",Valid Votes: ,"",370,"","","","","","","","","",""
"",Invalid Votes: ,"",5,"","","","","","","","","",""
"",Total Votes: ,"",375,"","","","","","","","","",""
Precinct: 45001 ,Polling Place: ,4 ,"","","","",Total: 495 ,Age 18-27: 37.2% ,Age 48-57: ,"","",9.1%,""
"Central High School Bopolu Tow n, Bopolu, Gbarpolu ","","","","","","",Males: 51.7% Females: 48.3% ,Age 28-37: 26.5% Age 38-47: 18.0% ,Age 58-67: Age 68+: ,"","",6.1%3.2%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",5 ,"DUKUKY, Jestina V. (CDC) ","",60 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",55
"BRUMSKINE, Charles Walker (LP) ","","",20 ,"KOLLIE, George Blama (LP) ","",12 ,"DORLEY, Bartu Marie (NPP) ","","","","","",49
