"WEAH, George Manneh (CDC) ",,,,2,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,1,,,,,,,,,,
,"Valid Votes: ",,,147,,,,,,,,,,
,"Invalid Votes: ",,,9,,,,,,,,,,
,"Total Votes: ",,,156,,,,,,,,,,
"Precinct: 21004 ","Polling Place: ",1,,,,,,"Total: 228 ","Age 18-27: 33.3% ","Age 48-57: ",,,"10.5%",
"Gbongie Tow n Hall, GBONGIE, Lofa ",,,,,,,,"Males: 41.7% Females: 58.3% ","Age 28-37: 23.7% Age 38-47: 16.2% ","Age 58-67: Age 68+: ",,,"7.5%8.8%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,2,"FARKOLLIE, Joseph Hinnah (CDC) ",,3,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,7
"BRUMSKINE, Charles Walker (LP) ",,,,2,"GBEGBE, Frederick Sayon (UDA) ",,3,"GARMI, Jacob Mulbah (UP) ",,,,,,8
"CONNEH, Sekou Damate (PRODEM) ",,,,5,"GBOLLIE, Fayah Joe Sahr (UP) ",,4,"GODSON, James K. (ULD) ",,,,,,4
"DIVINE, SR., Samuel Raymond (Ind) ",,,,2,"JOE, Saa Philip (CDC) ",,6,"HOWARD, Beyan D. (LP) ",,,,,,6
"FARHAT, David M. (FDP) ",,,,0,"JOHNSON, Lavela Koboi (UP) ",,9,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,117
"JALLAH, Armah Zolu (NPL) ",,,,2,"KAMARA, Alfred S. (NRP) ",,6,"KPUKUYOU, William Kulubah (APD) ",,,,,,4
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,51,"KAMARA, Massaquoi Morlu (ULD) ",,6,,"Valid Votes: ",,,,,146
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KANDAKAI, Lwopu Gawee (LP) ",,5,,"Invalid Votes: ",,,,,9
"KIEH, JR., George Klay (NDM) ",,,,2,"KANNEH, Fomba  (ALCOP) ",,12,,"Total Votes: ",,,,,155
"KORTO, Joseph D. Z. (LERP) ",,,,1,"KARBAR, Josephus M. (PRODEM) ",,5,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"KOKOLO, Flomo Yanquiwolo (APD) ",,4,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,1,"KPARKILLEN, Stanely Sumo (NPP) ",,94,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,13,"KUPEE, Sumo G. (COTOL) ",,89,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,28,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,"SORSOR, SR., Kollie Massayan (LP) ",,10,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,24,"TALI, Phillip Saa (COTOL) ",,7,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",291,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,0,,"Invalid Ballots: ",7,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,11,,"Valid Votes + Invalid Ballots: ",298,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,33,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,2,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,2,,,,,,,,,,
,"Valid Votes: ",,,153,,,,,,,,,,
,"Invalid Votes: ",,,4,,,,,,,,,,
,"Total Votes: ",,,157,,,,,,,,,,
"Precinct: 21005 ","Polling Place: ",1,,,,,,"Total: 48 ","Age 18-27: 27.1% ","Age 48-57: ",,,"8.3%",
"Gbakoita Tow n Hall, GBAKOITA, Lofa ",,,,,,,,"Males: 47.9% Females: 52.1% ","Age 28-37: 27.1% Age 38-47: 27.1% ","Age 58-67: Age 68+: ",,,"2.1%8.3%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
