"Gbonyea Tow n Hall , GBONYEA, Lofa ",,,,,,,,"Males: 45.1% Females: 54.9% ","Age 28-37: 25.5% Age 38-47: 19.4% ","Age 58-67: Age 68+: ",,,"7.4%7.6%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,4,"FARKOLLIE, Joseph Hinnah (CDC) ",,6,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,29
"BRUMSKINE, Charles Walker (LP) ",,,,6,"GBEGBE, Frederick Sayon (UDA) ",,4,"GARMI, Jacob Mulbah (UP) ",,,,,,18
"CONNEH, Sekou Damate (PRODEM) ",,,,4,"GBOLLIE, Fayah Joe Sahr (UP) ",,10,"GODSON, James K. (ULD) ",,,,,,18
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"JOE, Saa Philip (CDC) ",,13,"HOWARD, Beyan D. (LP) ",,,,,,7
"FARHAT, David M. (FDP) ",,,,1,"JOHNSON, Lavela Koboi (UP) ",,8,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,203
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Alfred S. (NRP) ",,7,"KPUKUYOU, William Kulubah (APD) ",,,,,,8
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,86,"KAMARA, Massaquoi Morlu (ULD) ",,131,,"Valid Votes: ",,,,,283
"KIADII, George Momodu (NATVIPOL) ",,,,4,"KANDAKAI, Lwopu Gawee (LP) ",,11,,"Invalid Votes: ",,,,,20
"KIEH, JR., George Klay (NDM) ",,,,47,"KANNEH, Fomba  (ALCOP) ",,10,,"Total Votes: ",,,,,303
"KORTO, Joseph D. Z. (LERP) ",,,,2,"KARBAR, Josephus M. (PRODEM) ",,12,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,5,"KOKOLO, Flomo Yanquiwolo (APD) ",,12,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,2,"KPARKILLEN, Stanely Sumo (NPP) ",,97,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,45,"KUPEE, Sumo G. (COTOL) ",,178,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,26,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,3,"SORSOR, SR., Kollie Massayan (LP) ",,12,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,39,"TALI, Phillip Saa (COTOL) ",,14,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,3,,"Valid Votes: ",551,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,,"Invalid Ballots: ",13,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,6,,"Valid Votes + Invalid Ballots: ",564,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,18,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,4,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,1,,,,,,,,,,
,"Valid Votes: ",,,282,,,,,,,,,,
,"Invalid Votes: ",,,23,,,,,,,,,,
,"Total Votes: ",,,305,,,,,,,,,,
"Precinct: 21007 ","Polling Place: ",1,,,,,,"Total: 286 ","Age 18-27: 31.5% ","Age 48-57: ",,,"7.7%",
"Kpayakole Tow n Hall, KPAYAKOLE, Lofa ",,,,,,,,"Males: 50.0% Females: 50.0% ","Age 28-37: 29.7% Age 38-47: 18.5% ","Age 58-67: Age 68+: ",,,"7.0%5.6%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,6,"FARKOLLIE, Joseph Hinnah (CDC) ",,7,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,23
"BRUMSKINE, Charles Walker (LP) ",,,,7,"GBEGBE, Frederick Sayon (UDA) ",,8,"GARMI, Jacob Mulbah (UP) ",,,,,,12
"CONNEH, Sekou Damate (PRODEM) ",,,,4,"GBOLLIE, Fayah Joe Sahr (UP) ",,7,"GODSON, James K. (ULD) ",,,,,,8
"DIVINE, SR., Samuel Raymond (Ind) ",,,,3,"JOE, Saa Philip (CDC) ",,16,"HOWARD, Beyan D. (LP) ",,,,,,7
"FARHAT, David M. (FDP) ",,,,3,"JOHNSON, Lavela Koboi (UP) ",,10,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,111
"JALLAH, Armah Zolu (NPL) ",,,,2,"KAMARA, Alfred S. (NRP) ",,7,"KPUKUYOU, William Kulubah (APD) ",,,,,,6
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,34,"KAMARA, Massaquoi Morlu (ULD) ",,11,,"Valid Votes: ",,,,,167
"KIADII, George Momodu (NATVIPOL) ",,,,1,"KANDAKAI, Lwopu Gawee (LP) ",,7,,"Invalid Votes: ",,,,,32
"KIEH, JR., George Klay (NDM) ",,,,1,"KANNEH, Fomba  (ALCOP) ",,6,,"Total Votes: ",,,,,199
"KORTO, Joseph D. Z. (LERP) ",,,,0,"KARBAR, Josephus M. (PRODEM) ",,5,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,2,"KOKOLO, Flomo Yanquiwolo (APD) ",,7,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"KPARKILLEN, Stanely Sumo (NPP) ",,81,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,13,"KUPEE, Sumo G. (COTOL) ",,95,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,22,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,2,"SORSOR, SR., Kollie Massayan (LP) ",,12,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,14,"TALI, Phillip Saa (COTOL) ",,4,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",305,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,2,,"Invalid Ballots: ",27,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,8,,"Valid Votes + Invalid Ballots: ",332,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,20,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,22,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,2,,,,,,,,,,
,"Valid Votes: ",,,146,,,,,,,,,,
,"Invalid Votes: ",,,55,,,,,,,,,,
,"Total Votes: ",,,201,,,,,,,,,,
"Precinct: 21008 ","Polling Place: ",1,,,,,,"Total: 495 ","Age 18-27: 29.9% ","Age 48-57: ",,,"8.5%",
"Gorlu Public School, GORLU, Lofa ",,,,,,,,"Males: 48.3% Females: 51.7% ","Age 28-37: 28.3% Age 38-47: 16.6% ","Age 58-67: Age 68+: ",,,"7.7%9.1%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,2,"FARKOLLIE, Joseph Hinnah (CDC) ",,5,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,158
"BRUMSKINE, Charles Walker (LP) ",,,,7,"GBEGBE, Frederick Sayon (UDA) ",,1,"GARMI, Jacob Mulbah (UP) ",,,,,,10
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"GBOLLIE, Fayah Joe Sahr (UP) ",,1,"GODSON, James K. (ULD) ",,,,,,2
"DIVINE, SR., Samuel Raymond (Ind) ",,,,2,"JOE, Saa Philip (CDC) ",,6,"HOWARD, Beyan D. (LP) ",,,,,,14
"FARHAT, David M. (FDP) ",,,,0,"JOHNSON, Lavela Koboi (UP) ",,4,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,118
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Alfred S. (NRP) ",,2,"KPUKUYOU, William Kulubah (APD) ",,,,,,4
