"Nifu public school, Nifu, Grand Kru ","","","","","","","",Males: 45.0% Females: 55.0% ,Age 28-37: 27.8% Age 38-47: 17.8% ,Age 58-67: Age 68+: ,"","",8.8%2.4%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",3 ,"BOYE, Vincent B. (LP) ","","","","","",0
"BRUMSKINE, Charles Walker (LP) ","","","",0 ,"BARTU, Amos Yonkon (APD) ","",8 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",1
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",0 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",17
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOE, J. Sawoloday (LP) ","",19 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",1
"FARHAT, David M. (FDP) ","","","",0 ,"JARGBA, Thompson N. (CDC) ","",0 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",217
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",2 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",8
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",2 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",0 ,"TOE, William Buwolo (NPP) ","","","","","",11
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KYNE, Samuel E. K. (LP) ","",1 ,"",Valid Votes: ,"","","","",255
"KIEH, JR., George Klay (NDM) ","","","",0 ,"NELSON, Blamoh  (APD) ","",201 ,"",Invalid Votes: ,"","","","",0
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"NIMELY, Thomas Nah (NPP) ","",10 ,"",Total Votes: ,"","","","",255
"KPOTO, Robert Momo (ULD) ","","","",1 ,"SHERMAN, Beatrice Nimene (CDC) ","",61,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",0,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",0 ,"SNEH, Rosalind Segbe Tonne (UP) ","",8,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",0,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",1 ,"WOTORSON, Cletus Segbe (COTOL) ","",46,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",1 ,"",Valid Votes: ,359,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",232 ,"",Invalid Ballots: ,2,"","","","","","",""
