Precinct: 39001 ,Polling Place ,1 ,"","","","","",Total: 554 ,Age 18-27: 47.7% ,Age 48-57: ,"","",7.4%,""
"Multilateral High school, Farmerville, Sinoe ","","","","","","","",Males: 60.3% Females: 39.7% ,Age 28-37: 20.8% Age 38-47: 16.6% ,Age 57-68: Age 68+: ,"","",5.6%2.0%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",88 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",3
"KIEH, JR., George Klay (NDM) ","","",2 ,"TURPLUE, Emma G. (LP) ","",20 ,"QUIAH, Victor Soloe (CDC) ","","","","","",34
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"",Valid Votes: ,600 ,"ROBERTS, George M. W. (NDPL) ","","","","","",7
"KPOTO, Robert Momo (ULD) ","","",1 ,"",Invalid Ballots: ,8 ,"SARKOR, Othello Wiah (NDM) ","","","","","",26
"KROMAH, Alhaji G. V. (ALCOP) ","","",8 ,"",Valid Votes + Invalid Ballots: ,608 ,"TARPEH, Amos W. (COTOL) ","","","","","",19
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",4 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",10
"MORLU, John Sembe (UDA) ","","",1 ,"","","","",Valid Votes: ,"","","","",311
"REEVES, Alfred Garpee (NRP) ","","",4 ,"","","","",Invalid Votes: ,"","","","",24
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",4 ,"","","","",Total Votes: ,"","","","",335
"TIPOTEH, Togba-Nah  (APD) ","","",80,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",0,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",2,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",150,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",2,"","","","","","","","","",""
"",Valid Votes: ,"",327,"","","","","","","","","",""
"",Invalid Votes: ,"",8,"","","","","","","","","",""
"",Total Votes: ,"",335,"","","","","","","","","",""
Precinct: 39004 ,Polling Place ,1 ,"","","","",Total: 505 ,Age 18-27: 35.4% ,Age 48-57: ,"","",11.1%,""
"Methodist Junior High school, Congo tow n, Sinoe ","","","","","","",Males: 46.7% Females: 53.3% ,Age 28-37: 28.7% Age 38-47: 15.4% ,Age 57-68: Age 68+: ,"","",6.5%2.8%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",6 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",59 ,"DAVIES, James Timothy (APD) ","","","","","",132
"BRUMSKINE, Charles Walker (LP) ","","",15 ,"CLARKE, Charles Amstard (UP) ","",55 ,"GREENE, Fannie Louise (LPL) ","","","","","",7
"CONNEH, Sekou Damate (PRODEM) ","","",6 ,"DOE, Julius Blamo (LP) ","",10 ,"JABBAH, John T. A. (FDP) ","","","","","",20
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"GIBSON, Myrtle Francelle (PRODEM) ","",10 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",31
"FARHAT, David M. (FDP) ","","",1 ,"NAGBE, Joseph Nyenetue (APD) ","",147 ,"MANEE, Manee Wion (UP) ","","","","","",23
"JALLAH, Armah Zolu (NPL) ","","",1 ,"NYENPAN, Mobutu Vlah (APD) ","",145 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",7
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",58 ,"SARPLOH, Stephen Sloh (CDC) ","",10 ,"NAGBE, Nah T. (FAPL) ","","","","","",4
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",57 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",16
"KIEH, JR., George Klay (NDM) ","","",2 ,"TURPLUE, Emma G. (LP) ","",21 ,"QUIAH, Victor Soloe (CDC) ","","","","","",46
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"",Valid Votes: ,514 ,"ROBERTS, George M. W. (NDPL) ","","","","","",11
"KPOTO, Robert Momo (ULD) ","","",0 ,"",Invalid Ballots: ,5 ,"SARKOR, Othello Wiah (NDM) ","","","","","",12
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"",Valid Votes + Invalid Ballots: ,519 ,"TARPEH, Amos W. (COTOL) ","","","","","",28
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",4 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",15
"MORLU, John Sembe (UDA) ","","",0 ,"","","","",Valid Votes: ,"","","","",352
"REEVES, Alfred Garpee (NRP) ","","",0 ,"","","","",Invalid Votes: ,"","","","",22
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",11 ,"","","","",Total Votes: ,"","","","",374
"TIPOTEH, Togba-Nah  (APD) ","","",85,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",5,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",2,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",4,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",152,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",2,"","","","","","","","","",""
"",Valid Votes: ,"",358,"","","","","","","","","",""
"",Invalid Votes: ,"",15,"","","","","","","","","",""
"",Total Votes: ,"",373,"","","","","","","","","",""
Precinct: 39004 ,Polling Place ,2 ,"","","","",Total: 512 ,Age 18-27: 40.8% ,Age 48-57: ,"","",9.6%,""
"Methodist Junior High school, Congo tow n, Sinoe ","","","","","","",Males: 53.7% Females: 46.3% ,Age 28-37: 23.4% Age 38-47: 19.5% ,Age 57-68: Age 68+: ,"","",4.9%1.8%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",3 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",49 ,"DAVIES, James Timothy (APD) ","","","","","",88
"BRUMSKINE, Charles Walker (LP) ","","",12 ,"CLARKE, Charles Amstard (UP) ","",52 ,"GREENE, Fannie Louise (LPL) ","","","","","",6
"CONNEH, Sekou Damate (PRODEM) ","","",0 ,"DOE, Julius Blamo (LP) ","",18 ,"JABBAH, John T. A. (FDP) ","","","","","",12
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"GIBSON, Myrtle Francelle (PRODEM) ","",4 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",26
"FARHAT, David M. (FDP) ","","",2 ,"NAGBE, Joseph Nyenetue (APD) ","",160 ,"MANEE, Manee Wion (UP) ","","","","","",30
"JALLAH, Armah Zolu (NPL) ","","",3 ,"NYENPAN, Mobutu Vlah (APD) ","",149 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",13
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",50 ,"SARPLOH, Stephen Sloh (CDC) ","",9 ,"NAGBE, Nah T. (FAPL) ","","","","","",11
