"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,139,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,15,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,75
"WEAH, George Manneh (CDC) ",,,,62,"WEAH, George Manneh (CDC) ",,,,70,"WEAH, George Manneh (CDC) ",,,,54
,"Valid Votes: ",,,201,,"Valid Votes: ",,,85,,"Valid Votes: ",,,129
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,3
,"Total Votes: ",,,202,,"Total Votes: ",,,88,,"Total Votes: ",,,132
"Precinct: 09018 ","Polling Place ",1,,,"Precinct: 09019 ","Polling Place ",1,,,"Precinct: 09020 ","Polling Place ",1,,
"Palava Hut, Nuahn Tow n ",,,,,"Palava Hut, Tarr Tow n ",,,,,"Palava Hut, Kro Tow n",,,,
"Registered Voters: ",92,,,,"Registered Voters: ",375,,,,"Registered Voters: ",31,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,12,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,91,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,9
"WEAH, George Manneh (CDC) ",,,,13,"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,4
,"Valid Votes: ",,,25,,"Valid Votes: ",,,125,,"Valid Votes: ",,,13
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,0
,"Total Votes: ",,,29,,"Total Votes: ",,,135,,"Total Votes: ",,,13
"Precinct: 09021 ","Polling Place ",1,,,"Precinct: 09022 ","Polling Place ",1,,,"Precinct: 09023 ","Polling Place ",1,,
"Palava Hut, Wesseh Tow n ",,,,,"School Building, Gorsuah Tow n ",,,,,"Palava Hut, Kanpue Tow n",,,,
"Registered Voters: ",93,,,,"Registered Voters: ",381,,,,"Registered Voters: ",374,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,48,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,118,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,286
"WEAH, George Manneh (CDC) ",,,,4,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,17
,"Valid Votes: ",,,52,,"Valid Votes: ",,,161,,"Valid Votes: ",,,303
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,5
,"Total Votes: ",,,52,,"Total Votes: ",,,173,,"Total Votes: ",,,308
"Precinct: 09024 ","Polling Place ",1,,,"Precinct: 09025 ","Polling Place ",1,,,"Precinct: 09026 ","Polling Place ",1,,
"Palava Hut, Whonkpua Tow n ",,,,,"Palava Hut, Zaye Tow n ",,,,,"Administrative Building, Central Lloydsville",,,,
"Registered Voters: ",154,,,,"Registered Voters: ",482,,,,"Registered Voters: ",604,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,34,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,85,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,157
"WEAH, George Manneh (CDC) ",,,,27,"WEAH, George Manneh (CDC) ",,,,54,"WEAH, George Manneh (CDC) ",,,,56
,"Valid Votes: ",,,61,,"Valid Votes: ",,,139,,"Valid Votes: ",,,213
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,13
,"Total Votes: ",,,63,,"Total Votes: ",,,149,,"Total Votes: ",,,226
"Precinct: 09026 ","Polling Place ",2,,,"Precinct: 09026 ","Polling Place ",3,,,"Precinct: 09027 ","Polling Place ",1,,
"Administrative Building, Central Lloydsville ",,,,,"Administrative Building, Central Lloydsville ",,,,,"Palava Hut, Wrokon Tow n",,,,
"Registered Voters: ",603,,,,"Registered Voters: ",580,,,,"Registered Voters: ",427,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,155,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,137,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,51
"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,61,"WEAH, George Manneh (CDC) ",,,,90
,"Valid Votes: ",,,210,,"Valid Votes: ",,,198,,"Valid Votes: ",,,141
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,22,,"Invalid Votes: ",,,5
,"Total Votes: ",,,216,,"Total Votes: ",,,220,,"Total Votes: ",,,146
"Precinct: 09028 ","Polling Place ",1,,,"Precinct: 09028 ","Polling Place ",2,,,"Precinct: 09029 ","Polling Place ",1,,
"School Building, German Camp ",,,,,"School Building, German Camp ",,,,,"Tow n Hall, Edina",,,,
"Registered Voters: ",445,,,,"Registered Voters: ",454,,,,"Registered Voters: ",404,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,70,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,85,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,73
"WEAH, George Manneh (CDC) ",,,,64,"WEAH, George Manneh (CDC) ",,,,59,"WEAH, George Manneh (CDC) ",,,,84
,"Valid Votes: ",,,134,,"Valid Votes: ",,,144,,"Valid Votes: ",,,157
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,7
,"Total Votes: ",,,140,,"Total Votes: ",,,156,,"Total Votes: ",,,164
"Precinct: 09030 ","Polling Place ",1,,,"Precinct: 09031 ","Polling Place ",1,,,"Precinct: 09032 ","Polling Place ",1,,
"School Building, Kingsville ",,,,,"Palava Hut, Norr Tow n ",,,,,"Palava Hut, Saul Tow n",,,,
"Registered Voters: ",215,,,,"Registered Voters: ",509,,,,"Registered Voters: ",382,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,35,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,37,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,68
"WEAH, George Manneh (CDC) ",,,,37,"WEAH, George Manneh (CDC) ",,,,104,"WEAH, George Manneh (CDC) ",,,,11
,"Valid Votes: ",,,72,,"Valid Votes: ",,,141,,"Valid Votes: ",,,79
,"Invalid Votes: ",,,16,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0
,"Total Votes: ",,,88,,"Total Votes: ",,,143,,"Total Votes: ",,,79
"Precinct: 09033 ","Polling Place ",1,,,"Precinct: 09034 ","Polling Place ",1,,,"Precinct: 09035 ","Polling Place ",1,,
"Palava Hut, Dw eh Tow n ",,,,,"Palava Hut, Wrayn Tow n ",,,,,"Clinic, Jacob Larteh Tow n",,,,
"Registered Voters: ",518,,,,"Registered Voters: ",238,,,,"Registered Voters: ",292,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,93,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,57,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,91
"WEAH, George Manneh (CDC) ",,,,80,"WEAH, George Manneh (CDC) ",,,,31,"WEAH, George Manneh (CDC) ",,,,31
,"Valid Votes: ",,,173,,"Valid Votes: ",,,88,,"Valid Votes: ",,,122
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,1
,"Total Votes: ",,,179,,"Total Votes: ",,,90,,"Total Votes: ",,,123
"Precinct: 09035 ","Polling Place ",2,,,"Precinct: 09036 ","Polling Place ",1,,,"Precinct: 09037 ","Polling Place ",1,,
"Clinic, Jacob Larteh Tow n ",,,,,"School Building, Mondeh Tow n ",,,,,"Palava Hut, Garley Tow n",,,,
"Registered Voters: ",334,,,,"Registered Voters: ",266,,,,"Registered Voters: ",496,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,97,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,74,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,89
"WEAH, George Manneh (CDC) ",,,,45,"WEAH, George Manneh (CDC) ",,,,24,"WEAH, George Manneh (CDC) ",,,,24
,"Valid Votes: ",,,142,,"Valid Votes: ",,,98,,"Valid Votes: ",,,113
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,4
,"Total Votes: ",,,149,,"Total Votes: ",,,101,,"Total Votes: ",,,117
"Precinct: 09038 ","Polling Place ",1,,,"Precinct: 09039 ","Polling Place ",1,,,"Precinct: 09040 ","Polling Place ",1,,
"Palava Hut, Paye Tow n ",,,,,"Palava Hut, Kpaingpa Tow n ",,,,,"Palava Hut, Kamachea Tow n",,,,
"Registered Voters: ",160,,,,"Registered Voters: ",230,,,,"Registered Voters: ",434,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,27,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,56,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,93
"WEAH, George Manneh (CDC) ",,,,32,"WEAH, George Manneh (CDC) ",,,,45,"WEAH, George Manneh (CDC) ",,,,51
,"Valid Votes: ",,,59,,"Valid Votes: ",,,101,,"Valid Votes: ",,,144
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,1
,"Total Votes: ",,,61,,"Total Votes: ",,,113,,"Total Votes: ",,,145
"Precinct: 09041 ","Polling Place ",1,,,"Precinct: 09042 ","Polling Place ",1,,,"Precinct: 09043 ","Polling Place ",1,,
"School Building, Hartford ",,,,,"School Building, Fortsville ",,,,,"School Building, Harrisville 1",,,,
"Registered Voters: ",360,,,,"Registered Voters: ",581,,,,"Registered Voters: ",388,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,162,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,175,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,139
"WEAH, George Manneh (CDC) ",,,,16,"WEAH, George Manneh (CDC) ",,,,26,"WEAH, George Manneh (CDC) ",,,,33
,"Valid Votes: ",,,178,,"Valid Votes: ",,,201,,"Valid Votes: ",,,172
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,4
,"Total Votes: ",,,182,,"Total Votes: ",,,212,,"Total Votes: ",,,176
"Precinct: 09043 ","Polling Place ",2,,,"Precinct: 09044 ","Polling Place ",1,,,"Precinct: 09045 ","Polling Place ",1,,
"School Building, Harrisville 1 ",,,,,"Passing Bealorw ard Palava Hut, Bealorw ard ",,,,,"School Building, B-i-a Baibo Industrial Academy",,,,
"Registered Voters: ",366,,,,"Registered Voters: ",211,,,,"Registered Voters: ",495,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,96,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,65,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,127
"WEAH, George Manneh (CDC) ",,,,35,"WEAH, George Manneh (CDC) ",,,,23,"WEAH, George Manneh (CDC) ",,,,39
,"Valid Votes: ",,,131,,"Valid Votes: ",,,88,,"Valid Votes: ",,,166
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,21,,"Invalid Votes: ",,,13
,"Total Votes: ",,,135,,"Total Votes: ",,,109,,"Total Votes: ",,,179
"Precinct: 09046 ","Polling Place ",1,,,"Precinct: 09047 ","Polling Place ",1,,,"Precinct: 09048 ","Polling Place ",1,,
"Palava Hut, Gayegpokon Tow n ",,,,,"Palava Hut, Kollie Tow n ",,,,,"Palava Hut, Johnny Tutu Tow n",,,,
"Registered Voters: ",596,,,,"Registered Voters: ",265,,,,"Registered Voters: ",578,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,73,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,36,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,282
"WEAH, George Manneh (CDC) ",,,,54,"WEAH, George Manneh (CDC) ",,,,24,"WEAH, George Manneh (CDC) ",,,,20
,"Valid Votes: ",,,127,,"Valid Votes: ",,,60,,"Valid Votes: ",,,302
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,0
,"Total Votes: ",,,134,,"Total Votes: ",,,67,,"Total Votes: ",,,302
"Precinct: 09051 ","Polling Place ",1,,,"Precinct: 09052 ","Polling Place ",1,,,"Precinct: 09053 ","Polling Place ",1,,
"Market Building, Fraizer Tow n ",,,,,"School Building, Now ay ",,,,,"Palava Hut, Zegar Tow n",,,,
"Registered Voters: ",318,,,,"Registered Voters: ",251,,,,"Registered Voters: ",105,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
