INFO 2015-03-20 03:04:05,325: Saved Bomi, Nyeila English & Arabic School (round 1): http://www.necliberia.org/results2011/pp_results/03069.html
INFO 2015-03-20 03:04:07,473: Saved Bomi, Joseph Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03070.html
INFO 2015-03-20 03:04:09,618: Saved Bomi, C. H. Dewey High School (round 1): http://www.necliberia.org/results2011/pp_results/03071.html
INFO 2015-03-20 03:04:11,763: Saved Bomi, Bomi Jr. High School (round 1): http://www.necliberia.org/results2011/pp_results/03072.html
INFO 2015-03-20 03:04:13,894: Saved Bomi, Yomo Town Public School (round 1): http://www.necliberia.org/results2011/pp_results/03073.html
INFO 2015-03-20 03:04:15,019: Saved Bomi, Administrative Building (round 1): http://www.necliberia.org/results2011/pp_results/03074.html
INFO 2015-03-20 03:04:16,181: Saved Bomi, Court House, Moses Vincent Compound (round 1): http://www.necliberia.org/results2011/pp_results/03075.html
INFO 2015-03-20 03:04:18,380: Saved Bomi, Vai Town Cinema (round 1): http://www.necliberia.org/results2011/pp_results/03076.html
INFO 2015-03-20 03:04:20,674: Saved Bomi, Baima Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03001r.html
INFO 2015-03-20 03:04:21,764: Saved Bomi, Barmo Palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03002r.html
INFO 2015-03-20 03:04:23,863: Saved Bomi, Beafinie Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03003r.html
INFO 2015-03-20 03:04:24,953: Saved Bomi, Beajah Public School (round 2): http://www.necliberia.org/results2011/pp_results/03004r.html
INFO 2015-03-20 03:04:27,044: Saved Bomi, Besao palava Hut (round 2): http://www.necliberia.org/results2011/pp_results/03005r.html
INFO 2015-03-20 03:04:29,155: Saved Bomi, Gba-Jakeh Gba Public School (round 2): http://www.necliberia.org/results2011/pp_results/03006r.html
INFO 2015-03-20 03:04:30,260: Saved Bomi, Government Farm Senjeh Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03007r.html
INFO 2015-03-20 03:04:31,365: Saved Bomi, Married Camp Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03008r.html
INFO 2015-03-20 03:04:33,444: Saved Bomi, Dependent Camp Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03009r.html
INFO 2015-03-20 03:04:35,523: Saved Bomi, Beh Town Hall (round 2): http://www.necliberia.org/results2011/pp_results/03010r.html
INFO 2015-03-20 03:04:36,611: Saved Bomi, Sass Town Public School (round 2): http://www.necliberia.org/results2011/pp_results/03011r.html
