INFO 2015-03-20 16:00:59,199: Saved Lofa, Bolahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21056.html
INFO 2015-03-20 16:01:00,306: Saved Lofa, Sosomolahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21057.html
INFO 2015-03-20 16:01:02,417: Saved Lofa, Kpassagizia Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21058.html
INFO 2015-03-20 16:01:04,511: Saved Lofa, Gbakoita Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21059.html
INFO 2015-03-20 16:01:06,625: Saved Lofa, Lawalazu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21060.html
INFO 2015-03-20 16:01:09,380: Saved Lofa, Lawalazu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21061.html
INFO 2015-03-20 16:01:10,700: Saved Lofa, Porlowu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21062.html
INFO 2015-03-20 16:01:13,435: Saved Lofa, Masambolahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21063.html
INFO 2015-03-20 16:01:14,704: Saved Lofa, Lehun-Two Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21064.html
INFO 2015-03-20 16:01:15,806: Saved Lofa, Fangonda Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21065.html
INFO 2015-03-20 16:01:17,044: Saved Lofa, Solumba Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21066.html
INFO 2015-03-20 16:01:19,186: Saved Lofa, Mbabahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21067.html
INFO 2015-03-20 16:01:20,305: Saved Lofa, Korworhun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21068.html
INFO 2015-03-20 16:01:21,456: Saved Lofa, Ndama Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21069.html
INFO 2015-03-20 16:01:23,567: Saved Lofa, Mendicorma Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21070.html
INFO 2015-03-20 16:01:25,690: Saved Lofa, Nyandemoilahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21071.html
