election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KAMARA, Alfred S.",5,NRP,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KAMARA, Massaquoi Morlu",11,ULD,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KANDAKAI, Lwopu Gawee",90,LP,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KANNEH, Fomba",10,ALCOP,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KARBAR, Josephus M.",8,PRODEM,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KOKOLO, Flomo Yanquiwolo",17,APD,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KPARKILLEN, Stanely Sumo",28,NPP,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KUPEE, Sumo G.",134,COTOL,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"NGAIMA, SR., Samuel Kpehe",42,NDPL,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"SORSOR, SR., Kollie Massayan",46,LP,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"TALI, Phillip Saa",34,COTOL,Senate,475
